   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |
--------------------------------------------
 0 |   |   |   |   |   |   |   |   |   | X |
 1 |   |   |   |   |   |   |   |   | X |   |
 2 |   |   |   |   |   |   | X | X | X |   |
 3 | X |   |   |   |   |   |   |   |   |   |
 4 | X |   |   |   |   |   |   |   |   |   |
 5 |   |   | X |   |   |   |   |   | X |   |
 6 |   |   | X | X |   |   |   |   |   |   |
 7 |   |   | X | X | X | X |   |   |   |   |
 8 |   |   |   |   | X |   | X |   |   |   |
 9 |   |   |   |   | X |   | X | X | X |   |

